0-0;﻿Almansor Eine Tragödie Glaubt nicht, es sei so ganz und gar phantastisch Das hübsche Lied, das ich euch freundlich biete! Hört zu: es ist halb episch und halb drastisch, Dazwischen blüht manch lyrisch zarte Blüte, Romantisch ist der Stoff, die Form ist plastisch, Das Ganze aber kam aus dem Gemüte, Es kämpfen Christ und Moslem, Nord und Süden, Die Liebe kommt am End' und macht den Frieden;Heinrich Heine;1821;Lyrik;Almansor
0-1;Das Innere eines alten, verödeten Maurenschlosses;Heinrich Heine;1821;Lyrik;Almansor
0-2;Durch die Seitenfenster fallen Strahlen der untergehenden Sonne;Heinrich Heine;1821;Lyrik;Almansor
0-3;Almansor allein;Heinrich Heine;1821;Lyrik;Almansor
0-4;Almansor: Es ist der alte, liebe Boden noch, Der wohlbekannte, buntgestickte Teppich, Worauf der Väter heil'ger Fuß gewandelt! Jetzt nagen Würmer an den seidnen Blumen, Als wären sie des Spaniers Bundgenossen;Heinrich Heine;1821;Lyrik;Almansor
0-5;Es sind die alten, treuen Säulen noch, Des stolzen Hauses stolze Marmorstützen, Woran ich oft mich angelehnt als Knabe;Heinrich Heine;1821;Lyrik;Almansor
0-6;O, hätten unsre Gomeles und Ganzuls, Abencerragen und hochmüt'ge Zegris So treu wie diese Säulen hier, getragen Den Königsthron im leuchtenden Alhambra! Es sind die alten, guten Mauern noch, Die glattgetäfelten, die hübsch bemalten, Die stets dem müden Wandrer Obdach gaben! Gastlich geblieben sind die guten Mauern, Doch ihre Gäste sind nur Eul' und Uhu;Heinrich Heine;1821;Lyrik;Almansor
0-7;(Er geht ans Fenster;Heinrich Heine;1821;Lyrik;Almansor
0-8;) Still bleibt's! Nur du, o Sonne, hörtest mich, Mitleidig schickst du mir die letzten Strahlen, Und streust mir Licht auf meinen dunkeln Pfad! Du, güt'ge Sonne, hör' mein dankbar Wort: Entflieh auch du nach Mauritaniens Küste, Und nach Arabiens ewig heitrer Flur,  O, fürchte Don Fernand und seine Räte, Die Haß geschworen allem schönen Lichte, O, fürchte Donna Isabell, die Stolze, Die, im Gefunkel ihrer Diamanten, Allein zu glänzen glaubt, wenn Nacht ringsum, O, flieh auch du den schlimmen, span'schen Boden, Wo schon gesunken deine Schwestersonne,                            Die goldgetürmte, leuchtende Granada! (Geht vom Fenster;Heinrich Heine;1821;Lyrik;Almansor
0-9;) Beklommen ist mein Herz, als habe sich Der untergeh'nden Sonne Flammenball Auf diese arme, schwache Brust gewälzt;Heinrich Heine;1821;Lyrik;Almansor
0-10;Wie morsche, glühnde Asche ist mein Leib,                          Und unter meinen Füßen wankt der Boden;Heinrich Heine;1821;Lyrik;Almansor
0-11;So heimisch ist mir hier, und doch so ängstlich! Das Lüftchen, das mir lind die Wange kühlt, Haucht Grüße mir aus längstverschollner Zeit;Heinrich Heine;1821;Lyrik;Almansor
0-12;In jener Schatten wechselnder Bewegung                             Seh' ich die Märchen meiner Kinderjahre, Sie regen sich, und nicken mir, und lächeln Mit klugen Mienen, und verwundern sich Daß jetzt der alte Freund so bang, so fremd tut;Heinrich Heine;1821;Lyrik;Almansor
0-13;Dort schwankt hervor die liebe, tote Mutter,                       Und schaut wehmütiglich besorgt, und weint, Und winkt, und winkt mit ihrer weißen Hand;Heinrich Heine;1821;Lyrik;Almansor
0-14;Und auch den Vater seh' ich dorten sitzen, Auf grünem Sammetpolster, leise schlummernd;Heinrich Heine;1821;Lyrik;Almansor
0-15;(Er steht sinnend;Heinrich Heine;1821;Lyrik;Almansor
0-16;Es ist ganz dunkel geworden;Heinrich Heine;1821;Lyrik;Almansor
0-17;Man sieht im Hintergrunde eine Gestalt, mit einer Fackel in der Hand, vorüberschreiten;Heinrich Heine;1821;Lyrik;Almansor
0-18;) Welch Nebelbild kam dort vorbei geflirrt?                          War's nur ein Blendwerk, das mich toll umgaukelt? War's nicht der alte Hassan, der dort ging? Vielleicht liegt Hassans toter Leib im Grab, Und nur sein Geist noch wandelt hier als Wächter Der Burg, die er im Leben treu gehütet?                            Es rauscht und rollet dumpf, und immer näher, Als stiegen meine Väter aus den Gräbern, Um mir zum Gruß die Knochenhand zu reichen, Zum Willkommkuß die weißen, kalten Lippen  Sie kommen schon  Eu'r Grüßen könnt' mich töten                Mehrere Mauren stürzen hervor mit blanken Säbeln;Heinrich Heine;1821;Lyrik;Almansor
0-19;Erster Maure: Das könnte wohl geschehn! Almansor (zieht sein Schwert aus der Scheide): So komm hervor, Du wunderreiches, blankes Amulett, Und schütze mich vor solchen schlimmen Geistern! Zweiter Maure: Wie kömmst du, Fremdling, hier in unsre Burg? Almansor: Ich geb' die Frag' zurück, die Burg ist mein,          Und dieser Anwalt (zeigt sein Schwert) soll mein gutes Recht, Auf eure Haut, mit roten Zügen schreiben;Heinrich Heine;1821;Lyrik;Almansor
0-20;Erster Maure: Ei! ei! wenn unser Anwalt Einspruch tut, Ist seine Zunge nicht von Holz, fürwahr, Metallvoll klirret seine Eisenstimme;Heinrich Heine;1821;Lyrik;Almansor
0-21;(Sie fechten;Heinrich Heine;1821;Lyrik;Almansor
0-22;) Erster Maure: Ei! ei! dein Anwalt kommt ja recht in Hitze, Und seine Rede sprühet Feuerfunken;Heinrich Heine;1821;Lyrik;Almansor
0-23;Almansor: Schweig nur, in deinem Blut soll er sie löschen;Heinrich Heine;1821;Lyrik;Almansor
0-24;Dritter Maure: Der Spaß geht bald zu End', ergib dich uns;Heinrich Heine;1821;Lyrik;Almansor
0-25;Hassan, in der linken Hand eine Fackel, in der rechten einen Säbel, stürzt wild herbei;Heinrich Heine;1821;Lyrik;Almansor
0-26;Hassan: Ho! ho! habt ihr den Alten ganz vergessen?               Blutrache, wißt ihr ja, ist mein Gewerbe, Und mir gehört der dort, =ich= muß ihn töten;Heinrich Heine;1821;Lyrik;Almansor
0-27;(Er ficht mit dem schon ermatteten Almansor, wie er ihn eben niederhauen will, erblickt er das Gesicht desselben beim Scheine der Fackel, und erschüttert stürzt er zu Almansors Füßen;Heinrich Heine;1821;Lyrik;Almansor
0-28;) Allah! Es ist Almansor ben Abdullah! Almansor: Das bin ich noch, und du bist Hassan noch, Steh auf du treuer Diener meines Hauses;Heinrich Heine;1821;Lyrik;Almansor
